Gene ID,Fold Change
201424_s_at,-2.40E+00
201650_at,-2.40E+00
202017_at,-2.40E+00
204646_at,-2.40E+00
205379_at,-2.40E+00
203186_s_at,-2.40E+00
207469_s_at,-2.40E+00
205824_at,-2.40E+00
218696_at,-2.40E+00
201339_s_at,-2.40E+00
203780_at,-2.40E+00
214909_s_at,-2.40E+00
202641_at,-2.40E+00
213225_at,-2.40E+00
204011_at,-2.40E+00
201745_at,-2.40E+00
208673_s_at,-2.40E+00
201963_at,-2.40E+00
202125_s_at,-2.40E+00
204409_s_at,-2.40E+00
210093_s_at,-2.40E+00
201371_s_at,-2.40E+00
203646_at,-2.40E+00
215088_s_at,-2.40E+00
204614_at,-2.40E+00
200074_s_at,-2.40E+00
219799_s_at,-2.40E+00
211985_s_at,-2.40E+00
212628_at,-2.30E+00
217800_s_at,-2.30E+00
218498_s_at,-2.30E+00
201850_at,-2.30E+00
218364_at,-2.30E+00
202011_at,-2.30E+00
213129_s_at,-2.30E+00
207114_at,-2.30E+00
57163_at,-2.30E+00
203771_s_at,-2.30E+00
205778_at,-2.30E+00
200764_s_at,-2.30E+00
205295_at,-2.30E+00
203581_at,-2.30E+00
218680_x_at,-2.30E+00
212774_at,-2.30E+00
203706_s_at,-2.30E+00
219403_s_at,-2.30E+00
202653_s_at,-2.30E+00
210372_s_at,-2.30E+00
219850_s_at,-2.30E+00
201841_s_at,-2.30E+00
209028_s_at,-2.30E+00
211992_at,-2.30E+00
209575_at,-2.30E+00
214594_x_at,-2.30E+00
201436_at,-2.30E+00
202146_at,-2.30E+00
208700_s_at,-2.30E+00
218450_at,-2.30E+00
209861_s_at,-2.30E+00
203180_at,-2.30E+00
218285_s_at,-2.30E+00
218486_at,-2.30E+00
203375_s_at,-2.30E+00
206211_at,-2.30E+00
201132_at,-2.30E+00
206561_s_at,-2.30E+00
218645_at,-2.30E+00
200608_s_at,-2.30E+00
201980_s_at,-2.30E+00
218935_at,-2.30E+00
202504_at,-2.30E+00
209030_s_at,-2.30E+00
201624_at,-2.30E+00
204750_s_at,-2.30E+00
206393_at,-2.30E+00
201843_s_at,-2.30E+00
202118_s_at,-2.30E+00
217996_at,-2.30E+00
201701_s_at,-2.30E+00
209283_at,-2.30E+00
